date,fips,county,tests,cases,recovered,deaths
2021-04-12,19153,Polk,275749,55520,52385,598
2021-04-12,19113,Linn,117061,20164,19272,329
2021-04-12,19163,Scott,86349,18725,17219,234
2021-04-12,19013,Black Hawk,70198,15466,14792,306
2021-04-12,19193,Woodbury,60036,14787,13895,219
2021-04-12,19103,Johnson,80041,13871,13161,80
2021-04-12,19061,Dubuque,57126,13033,12306,202
2021-04-12,19049,Dallas,54181,10823,10293,96
2021-04-12,19155,Pottawattamie,47453,10620,9878,160
2021-04-12,19169,Story,56045,10244,9700,47
2021-04-12,19181,Warren,27930,5484,5167,86
2021-04-12,19045,Clinton,22733,5311,4991,89
2021-04-12,19033,Cerro Gordo,24884,5193,4964,86
2021-04-12,19187,Webster,21316,5060,4905,91
2021-04-12,19167,Sioux,16051,5029,4775,73
2021-04-12,19127,Marshall,21384,4762,4619,74
2021-04-12,19139,Muscatine,21500,4549,4235,96
2021-04-12,19057,Des Moines,21174,4394,4261,65
2021-04-12,19179,Wapello,18453,4246,4020,120
2021-04-12,19021,Buena Vista,14758,4211,4107,40
2021-04-12,19099,Jasper,18261,4064,3873,70
2021-04-12,19149,Plymouth,13287,3939,3658,79
2021-04-12,19111,Lee,15904,3667,3581,55
2021-04-12,19125,Marion,16055,3539,3406,75
2021-04-12,19105,Jones,9947,2921,2810,55
2021-04-12,19087,Henry,10951,2853,2772,37
2021-04-12,19017,Bremer,12286,2782,2674,60
2021-04-12,19027,Carroll,11375,2779,2683,50
2021-04-12,19047,Crawford,8811,2614,2532,39
2021-04-12,19015,Boone,13852,2564,2445,31
2021-04-12,19011,Benton,12775,2489,2392,55
2021-04-12,19183,Washington,11870,2481,2373,49
2021-04-12,19059,Dickinson,10443,2387,2066,43
2021-04-12,19123,Mahaska,10418,2232,2122,49
2021-04-12,19097,Jackson,9139,2171,2074,42
2021-04-12,19109,Kossuth,7940,2114,1961,61
2021-04-12,19041,Clay,8420,2084,1872,25
2021-04-12,19171,Tama,8442,2063,1968,71
2021-04-12,19055,Delaware,8054,2010,1841,39
2021-04-12,19141,O'Brien,6681,1951,1806,60
2021-04-12,19191,Winneshiek,10314,1926,1821,33
2021-04-12,19145,Page,6362,1890,1799,20
2021-04-12,19019,Buchanan,9477,1873,1765,31
2021-04-12,19031,Cedar,9151,1827,1734,23
2021-04-12,19065,Fayette,9270,1826,1766,41
2021-04-12,19197,Wright,7837,1787,1722,35
2021-04-12,19083,Hardin,8436,1786,1682,42
2021-04-12,19079,Hamilton,7529,1770,1701,49
2021-04-12,19085,Harrison,6428,1747,1614,73
2021-04-12,19043,Clayton,7097,1654,1563,55
2021-04-12,19023,Butler,7032,1618,1560,34
2021-04-12,19129,Mills,7663,1574,1499,20
2021-04-12,19035,Cherokee,6034,1564,1457,38
2021-04-12,19067,Floyd,7704,1545,1454,42
2021-04-12,19119,Lyon,4631,1535,1438,41
2021-04-12,19157,Poweshiek,8929,1521,1474,33
2021-04-12,19121,Madison,7730,1520,1458,19
2021-04-12,19005,Allamakee,6187,1490,1420,51
2021-04-12,19095,Iowa,8124,1448,1400,24
2021-04-12,19081,Hancock,6002,1427,1355,34
2021-04-12,19189,Winnebago,6255,1353,1296,31
2021-04-12,19075,Grundy,5773,1347,1297,32
2021-04-12,19029,Cass,6334,1339,1263,54
2021-04-12,19025,Calhoun,5293,1330,1294,11
2021-04-12,19101,Jefferson,7681,1305,1269,35
2021-04-12,19063,Emmet,5114,1272,1122,40
2021-04-12,19165,Shelby,5449,1266,1161,37
2021-04-12,19115,Louisa,5414,1261,1192,49
2021-04-12,19007,Appanoose,6012,1258,1191,47
2021-04-12,19161,Sac,5352,1257,1190,19
2021-04-12,19131,Mitchell,5481,1252,1196,41
2021-04-12,19175,Union,6518,1237,1177,32
2021-04-12,19037,Chickasaw,5445,1220,1194,15
2021-04-12,19091,Humboldt,4733,1179,1121,26
2021-04-12,19077,Guthrie,5680,1167,1086,28
2021-04-12,19069,Franklin,5286,1124,1078,21
2021-04-12,19147,Palo Alto,4499,1096,1006,22
2021-04-12,19089,Howard,4618,1026,986,22
2021-04-12,NA,Pending Investigation,5842,1004,936,0
2021-04-12,19137,Montgomery,4274,997,936,37
2021-04-12,19039,Clarke,4872,980,944,23
2021-04-12,19107,Keokuk,4232,942,900,30
2021-04-12,19135,Monroe,3495,932,879,28
2021-04-12,19093,Ida,3342,886,814,33
2021-04-12,19001,Adair,3622,840,796,32
2021-04-12,19151,Pocahontas,3433,830,798,21
2021-04-12,19133,Monona,3771,803,751,30
2021-04-12,19051,Davis,3467,798,749,24
2021-04-12,19073,Greene,4118,763,732,10
2021-04-12,19117,Lucas,3817,748,715,22
2021-04-12,19143,Osceola,2478,738,672,16
2021-04-12,19195,Worth,3786,701,664,8
2021-04-12,19173,Taylor,2508,650,632,12
2021-04-12,19071,Fremont,2646,604,555,10
2021-04-12,19053,Decatur,3546,588,574,9
2021-04-12,19177,Van Buren,2743,553,521,18
2021-04-12,19159,Ringgold,2383,533,497,22
2021-04-12,19185,Wayne,2453,518,468,23
2021-04-12,19009,Audubon,2631,492,465,9
2021-04-12,19003,Adams,1587,326,315,4
