date,fips,county,tests,cases,recovered,deaths
NA,19153,Polk,281505,56571,53740,612
NA,19113,Linn,119671,20483,19501,332
NA,19163,Scott,88491,19369,17713,237
NA,19013,Black Hawk,71449,15645,14963,306
NA,19193,Woodbury,61122,15003,14261,224
NA,19103,Johnson,81815,14226,13382,83
NA,19061,Dubuque,58088,13232,12459,205
NA,19049,Dallas,55191,10998,10558,97
NA,19155,Pottawattamie,48370,10888,10131,164
NA,19169,Story,56865,10404,9933,47
NA,19181,Warren,28526,5638,5288,87
NA,19045,Clinton,23276,5429,5092,92
NA,19033,Cerro Gordo,25396,5278,5008,87
NA,19187,Webster,21556,5093,4946,92
NA,19167,Sioux,16339,5091,4872,73
NA,19127,Marshall,21785,4784,4661,75
NA,19139,Muscatine,21917,4656,4345,98
NA,19057,Des Moines,21488,4463,4291,65
NA,19179,Wapello,18779,4259,4092,122
NA,19021,Buena Vista,14951,4230,4137,40
NA,19099,Jasper,18586,4100,3957,70
NA,19149,Plymouth,13504,3990,3756,79
NA,19111,Lee,16131,3699,3590,55
NA,19125,Marion,16353,3567,3445,75
NA,19105,Jones,10169,2944,2838,56
NA,19087,Henry,11150,2883,2796,37
NA,19027,Carroll,11540,2817,2704,52
NA,19017,Bremer,12495,2808,2696,60
NA,19047,Crawford,8934,2628,2553,40
NA,19015,Boone,14121,2603,2481,33
NA,19011,Benton,13032,2520,2420,55
NA,19183,Washington,12070,2504,2394,50
NA,19059,Dickinson,10682,2451,2208,43
NA,19123,Mahaska,10619,2264,2141,50
NA,19097,Jackson,9321,2197,2102,42
NA,19109,Kossuth,8098,2141,2011,64
NA,19041,Clay,8578,2133,1972,25
NA,19171,Tama,8559,2077,1979,71
NA,19055,Delaware,8240,2055,1892,39
NA,19141,O'Brien,6779,1981,1858,60
NA,19191,Winneshiek,10501,1953,1854,33
NA,19145,Page,6437,1909,1838,21
NA,19019,Buchanan,9645,1894,1801,31
NA,19031,Cedar,9334,1861,1755,23
NA,19065,Fayette,9470,1839,1780,41
NA,19083,Hardin,8613,1824,1712,42
NA,19197,Wright,7932,1812,1734,35
NA,19079,Hamilton,7677,1786,1715,49
NA,19085,Harrison,6567,1775,1634,73
NA,19043,Clayton,7259,1675,1573,56
NA,19023,Butler,7156,1628,1573,34
NA,19129,Mills,7755,1597,1537,21
NA,19067,Floyd,7853,1578,1482,42
NA,19035,Cherokee,6107,1577,1499,38
NA,19121,Madison,7906,1562,1485,19
NA,19119,Lyon,4737,1561,1459,41
NA,19157,Poweshiek,9032,1534,1485,33
NA,19005,Allamakee,6278,1495,1438,51
NA,19095,Iowa,8292,1468,1415,24
NA,19081,Hancock,6137,1444,1370,34
NA,19189,Winnebago,6390,1384,1308,31
NA,19029,Cass,6456,1363,1277,54
NA,19075,Grundy,5872,1355,1305,32
NA,19025,Calhoun,5366,1335,1311,13
NA,19101,Jefferson,7798,1316,1274,35
NA,19063,Emmet,5260,1312,1180,40
NA,19165,Shelby,5603,1292,1207,37
NA,19161,Sac,5450,1289,1215,19
NA,19115,Louisa,5500,1274,1200,49
NA,19007,Appanoose,6118,1271,1204,47
NA,19131,Mitchell,5546,1255,1214,41
NA,19175,Union,6584,1235,1182,32
NA,19037,Chickasaw,5523,1228,1202,15
NA,19077,Guthrie,5812,1192,1124,29
NA,19091,Humboldt,4799,1184,1148,26
NA,19069,Franklin,5383,1140,1087,21
NA,19147,Palo Alto,4573,1116,1035,23
NA,19089,Howard,4687,1036,998,22
NA,19137,Montgomery,4364,1018,947,37
NA,NA,Pending Investigation,5504,1000,951,0
NA,19039,Clarke,4944,986,952,24
NA,19107,Keokuk,4321,951,907,31
NA,19135,Monroe,3561,946,887,28
NA,19093,Ida,3394,900,837,34
NA,19001,Adair,3671,851,806,32
NA,19151,Pocahontas,3493,846,811,21
NA,19133,Monona,3843,820,764,30
NA,19051,Davis,3527,803,763,24
NA,19143,Osceola,2553,774,697,16
NA,19073,Greene,4202,769,745,10
NA,19117,Lucas,3903,760,725,23
NA,19195,Worth,3889,720,676,8
NA,19173,Taylor,2539,654,633,12
NA,19071,Fremont,2707,616,581,9
NA,19053,Decatur,3595,592,576,9
NA,19177,Van Buren,2793,556,529,18
NA,19159,Ringgold,2415,536,509,24
NA,19185,Wayne,2516,522,489,23
NA,19009,Audubon,2688,496,470,9
NA,19003,Adams,1605,331,315,4
