date,fips,county,population,population_group,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth
2020-05-25,19153,Polk,490161,large,3774,769.951,NA,NA,NA
2020-05-25,19113,Linn,226706,large,935,412.428,NA,NA,NA
2020-05-25,19163,Scott,172943,mid-large,337,194.862,NA,NA,NA
2020-05-25,19103,Johnson,151140,mid-large,602,398.306,NA,NA,NA
2020-05-25,19013,Black Hawk,131228,mid-large,1682,1281.739,NA,NA,NA
2020-05-25,19193,Woodbury,103107,mid-large,2624,2544.929,NA,NA,NA
2020-05-25,19061,Dubuque,97311,mid-large,323,331.925,NA,NA,NA
2020-05-25,19169,Story,97117,mid-large,95,97.82,NA,NA,NA
2020-05-25,19049,Dallas,93453,mid-large,857,917.039,NA,NA,NA
2020-05-25,19155,Pottawattamie,93206,mid-large,212,227.453,NA,NA,NA
2020-05-25,19181,Warren,51466,mid-small,111,215.676,NA,NA,NA
2020-05-25,19045,Clinton,46429,mid-small,60,129.23,NA,NA,NA
2020-05-25,19139,Muscatine,42664,mid-small,545,1277.424,NA,NA,NA
2020-05-25,19033,Cerro Gordo,42450,mid-small,22,51.826,NA,NA,NA
2020-05-25,19127,Marshall,39369,mid-small,870,2209.861,NA,NA,NA
2020-05-25,19057,Des Moines,38967,mid-small,55,141.145,NA,NA,NA
2020-05-25,19099,Jasper,37185,mid-small,256,688.45,NA,NA,NA
2020-05-25,19187,Webster,35904,mid-small,27,75.201,NA,NA,NA
2020-05-25,19179,Wapello,34969,mid-small,514,1469.873,NA,NA,NA
2020-05-25,19167,Sioux,34855,mid-small,207,593.889,NA,NA,NA
2020-05-25,19111,Lee,33657,mid-small,22,65.365,NA,NA,NA
2020-05-25,19125,Marion,33253,mid-small,29,87.21,NA,NA,NA
2020-05-25,19015,Boone,26234,mid-small,55,209.652,NA,NA,NA
2020-05-25,19011,Benton,25645,mid-small,37,144.278,NA,NA,NA
2020-05-25,19149,Plymouth,25177,mid-small,116,460.738,NA,NA,NA
2020-05-25,19017,Bremer,25062,mid-small,67,267.337,NA,NA,NA
2020-05-25,19123,Mahaska,22095,mid-small,85,384.702,NA,NA,NA
2020-05-25,19183,Washington,21965,mid-small,180,819.486,NA,NA,NA
2020-05-25,19019,Buchanan,21175,mid-small,32,151.122,NA,NA,NA
2020-05-25,19105,Jones,20681,mid-small,36,174.073,NA,NA,NA
2020-05-25,19027,Carroll,20165,mid-small,9,44.632,NA,NA,NA
2020-05-25,19191,Winneshiek,19991,mid-small,23,115.052,NA,NA,NA
2020-05-25,19087,Henry,19954,mid-small,61,305.703,NA,NA,NA
2020-05-25,19065,Fayette,19650,small,26,132.316,NA,NA,NA
