date,fips,county,population,population_group,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth
2021-02-28,19153,Polk,490161,large,51468,10500.223,107.429,21.917,-0.013
2021-02-28,19113,Linn,226706,large,19394,8554.692,21.857,9.641,-0.024
2021-02-28,19163,Scott,172943,mid-large,17026,9844.862,21,12.143,-0.037
2021-02-28,19103,Johnson,151140,mid-large,13065,8644.303,18.143,12.004,0.023
2021-02-28,19013,Black Hawk,131228,mid-large,14874,11334.471,13.714,10.451,0.157
2021-02-28,19193,Woodbury,103107,mid-large,13715,13301.716,18.571,18.011,0.038
2021-02-28,19061,Dubuque,97311,mid-large,12367,12708.738,19.143,19.672,0.185
2021-02-28,19169,Story,97117,mid-large,9522,9804.669,18.714,19.27,0.104
2021-02-28,19049,Dallas,93453,mid-large,10111,10819.342,25.286,27.057,0.165
2021-02-28,19155,Pottawattamie,93206,mid-large,9793,10506.834,14.714,15.787,0.1
2021-02-28,19181,Warren,51466,mid-small,5079,9868.651,9.143,17.765,-0.078
2021-02-28,19045,Clinton,46429,mid-small,4986,10738.978,8.571,18.46,-0.118
2021-02-28,19139,Muscatine,42664,mid-small,4207,9860.773,9,21.095,0.207
2021-02-28,19033,Cerro Gordo,42450,mid-small,4976,11722.026,3.714,8.749,-0.057
2021-02-28,19127,Marshall,39369,mid-small,4607,11702.101,4.143,10.524,-0.379
2021-02-28,19057,Des Moines,38967,mid-small,4257,10924.629,7.857,20.163,0.192
2021-02-28,19099,Jasper,37185,mid-small,3843,10334.812,18,48.407,-0.169
2021-02-28,19187,Webster,35904,mid-small,4919,13700.423,4.714,13.129,-0.167
2021-02-28,19179,Wapello,34969,mid-small,3993,11418.685,14.857,42.486,0.22
2021-02-28,19167,Sioux,34855,mid-small,4768,13679.529,5.857,16.804,0.143
2021-02-28,19111,Lee,33657,mid-small,3534,10500.045,5.429,16.13,-0.022
2021-02-28,19125,Marion,33253,mid-small,3389,10191.562,5,15.036,-0.25
2021-02-28,19015,Boone,26234,mid-small,2414,9201.799,3.429,13.071,-0.06
2021-02-28,19011,Benton,25645,mid-small,2375,9261.065,6.857,26.738,-0.052
2021-02-28,19149,Plymouth,25177,mid-small,3662,14545.021,4,15.888,0.167
2021-02-28,19017,Bremer,25062,mid-small,2666,10637.619,5.286,21.092,0.63
2021-02-28,19123,Mahaska,22095,mid-small,2140,9685.449,2.571,11.636,0.316
2021-02-28,19183,Washington,21965,mid-small,2383,10849.078,1.286,5.855,-0.61
2021-02-28,19019,Buchanan,21175,mid-small,1755,8288.076,2.714,12.817,0.083
2021-02-28,19105,Jones,20681,mid-small,2847,13766.259,1.857,8.979,0.111
2021-02-28,19027,Carroll,20165,mid-small,2659,13186.214,2.571,12.75,0.041
2021-02-28,19191,Winneshiek,19991,mid-small,1818,9094.092,4.143,20.724,-0.077
2021-02-28,19087,Henry,19954,mid-small,2792,13992.182,1.857,9.306,-0.131
2021-02-28,19065,Fayette,19650,small,1769,9002.545,1.286,6.545,-0.273
2021-02-28,19021,Buena Vista,19620,small,4107,20932.722,6.571,33.491,1.039
