date,population,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth
2020-05-25,3155070,17557,556.469,NA,NA,NA
2020-05-26,3155070,17661,559.766,NA,NA,NA
2020-05-27,3155070,18256,578.624,NA,NA,NA
2020-05-28,3155070,18522,587.055,NA,NA,NA
2020-05-29,3155070,18792,595.613,NA,NA,NA
2020-05-30,3155070,19142,606.706,NA,NA,NA
2020-05-31,3155070,19487,617.641,NA,NA,NA
2020-06-01,3155070,19688,624.012,304.429,9.649,NA
2020-06-02,3155070,19956,632.506,327.857,10.391,NA
2020-06-03,3155070,20010,634.217,250.571,7.942,NA
2020-06-04,3155070,20706,656.277,312,9.889,NA
2020-06-05,3155070,21094,668.575,328.857,10.423,NA
2020-06-06,3155070,21438,679.478,328,10.396,NA
2020-06-07,3155070,21611,684.961,303.429,9.617,NA
2020-06-08,3155070,21918,694.691,318.571,10.097,0.046
2020-06-09,3155070,22177,702.9,317.286,10.056,-0.032
2020-06-10,3155070,22516,713.645,358,11.347,0.427
2020-06-11,3155070,22785,722.171,297,9.413,-0.048
2020-06-12,3155070,23166,734.247,296,9.382,-0.1
2020-06-13,3155070,23555,746.576,302.429,9.585,-0.078
2020-06-14,3155070,23904,757.638,327.571,10.382,0.079
2020-06-15,3155070,24046,762.138,304,9.635,-0.046
2020-06-16,3155070,24168,766.005,284.429,9.015,-0.103
2020-06-17,3155070,24379,772.693,266.143,8.435,-0.256
2020-06-18,3155070,24737,784.04,278.857,8.838,-0.061
2020-06-19,3155070,25164,797.573,285.429,9.047,-0.036
2020-06-20,3155070,25424,805.814,267,8.463,-0.117
2020-06-21,3155070,25891,820.616,283.857,8.997,-0.133
2020-06-22,3155070,26053,825.75,286.714,9.087,-0.057
2020-06-23,3155070,26346,835.037,311.143,9.862,0.094
2020-06-24,3155070,26601,843.119,317.429,10.061,0.192
2020-06-25,3155070,27061,857.699,332,10.523,0.19
2020-06-26,3155070,27555,873.356,341.571,10.826,0.196
2020-06-27,3155070,27933,885.337,358.429,11.36,0.341
2020-06-28,3155070,28430,901.089,362.714,11.496,0.277
2020-06-29,3155070,28732,910.661,382.714,12.13,0.334
2020-06-30,3155070,28944,917.381,371.143,11.763,0.192
2020-07-01,3155070,29290,928.347,384.143,12.175,0.21
2020-07-02,3155070,29965,949.741,414.857,13.149,0.249
2020-07-03,3155070,30355,962.102,400,12.678,0.171
2020-07-04,3155070,30923,980.105,427.143,13.538,0.191
2020-07-05,3155070,31243,990.247,401.857,12.737,0.108
2020-07-06,3155070,31655,1003.306,417.571,13.235,0.091
2020-07-07,3155070,31927,1011.927,426.143,13.507,0.148
2020-07-08,3155070,32388,1026.538,442.571,14.027,0.152
2020-07-09,3155070,33121,1049.771,450.857,14.29,0.087
2020-07-10,3155070,33121,1049.771,395.143,12.524,-0.012
2020-07-11,3155070,34528,1094.366,515,16.323,0.205
2020-07-12,3155070,35006,1109.516,537.571,17.038,0.337
2020-07-13,3155070,35502,1125.237,549.571,17.419,0.315
2020-07-14,3155070,35830,1135.632,557.571,17.672,0.308
2020-07-15,3155070,36036,1142.162,521.143,16.518,0.177
2020-07-16,3155070,36866,1168.469,535,16.957,0.186
2020-07-17,3155070,37668,1193.888,649.571,20.588,0.642
2020-07-18,3155070,37904,1201.368,482.286,15.286,-0.063
2020-07-19,3155070,38637,1224.6,518.714,16.441,-0.035
2020-07-20,3155070,38917,1233.475,487.857,15.463,-0.112
2020-07-21,3155070,39420,1249.418,512.857,16.255,-0.08
2020-07-22,3155070,39793,1261.24,536.714,17.011,0.03
2020-07-23,3155070,40509,1283.933,520.429,16.495,-0.027
2020-07-24,3155070,41000,1299.496,476,15.087,-0.267
2020-07-25,3155070,41628,1319.4,532,16.862,0.103
2020-07-26,3155070,42016,1331.698,482.714,15.3,-0.069
2020-07-27,3155070,42485,1346.563,509.714,16.155,0.045
2020-07-28,3155070,42738,1354.582,474,15.023,-0.076
2020-07-29,3155070,43195,1369.066,486,15.404,-0.094
2020-07-30,3155070,43844,1389.636,476.429,15.1,-0.084
2020-07-31,3155070,44475,1409.636,496.429,15.734,0.043
2020-08-01,3155070,44936,1424.247,472.571,14.978,-0.111
2020-08-02,3155070,45481,1441.521,495,15.689,0.025
2020-08-03,3155070,45802,1451.695,473.857,15.019,-0.07
2020-08-04,3155070,45981,1457.369,463.286,14.684,-0.023
2020-08-05,3155070,46490,1473.501,470.714,14.919,-0.031
2020-08-06,3155070,47137,1494.008,470.429,14.91,-0.013
2020-08-07,3155070,47728,1512.74,464.714,14.729,-0.064
2020-08-08,3155070,48112,1524.911,453.714,14.38,-0.04
2020-08-09,3155070,48732,1544.562,464.429,14.72,-0.062
2020-08-10,3155070,49000,1553.056,456.857,14.48,-0.036
2020-08-11,3155070,49208,1559.648,461,14.611,-0.005
2020-08-12,3155070,49702,1575.306,458.857,14.543,-0.025
2020-08-13,3155070,50167,1590.044,432.857,13.719,-0.08
2020-08-14,3155070,50808,1610.36,440,13.946,-0.053
2020-08-15,3155070,51640,1636.731,504,15.974,0.111
2020-08-16,3155070,52306,1657.84,510.571,16.183,0.099
2020-08-17,3155070,52617,1667.697,516.714,16.377,0.131
2020-08-18,3155070,52924,1677.427,530.857,16.826,0.151
2020-08-19,3155070,53538,1696.888,548,17.369,0.194
2020-08-20,3155070,53831,1706.175,523.429,16.59,0.209
2020-08-21,3155070,54709,1734.003,557.286,17.663,0.266
2020-08-22,3155070,55496,1758.947,550.857,17.459,0.093
2020-08-23,3155070,56157,1779.897,550.143,17.437,0.077
2020-08-24,3155070,56585,1793.463,566.857,17.967,0.097
2020-08-25,3155070,57156,1811.56,604.571,19.162,0.139
2020-08-26,3155070,58019,1838.913,640.143,20.289,0.168
2020-08-27,3155070,59496,1885.727,809.286,25.65,0.545
2020-08-28,3155070,62031,1966.074,1046,33.153,0.875
2020-08-29,3155070,63112,2000.336,1088,34.484,0.973
2020-08-30,3155070,64102,2031.714,1135,35.974,1.061
2020-08-31,3155070,64713,2051.08,1161.143,36.802,1.047
2020-09-01,3155070,65397,2072.759,1177.286,37.314,0.946
2020-09-02,3155070,66137,2096.213,1159.714,36.757,0.81
2020-09-03,3155070,66799,2117.195,1043.286,33.067,0.289
2020-09-04,3155070,67982,2154.691,850.143,26.945,-0.187
2020-09-05,3155070,69006,2187.146,842,26.687,-0.226
2020-09-06,3155070,69756,2210.918,807.714,25.601,-0.288
2020-09-07,3155070,70314,2228.603,800.143,25.361,-0.311
2020-09-08,3155070,70659,2239.538,751.714,23.826,-0.361
2020-09-09,3155070,71137,2254.688,714.286,22.639,-0.384
2020-09-10,3155070,71956,2280.647,736.714,23.35,-0.294
2020-09-11,3155070,72754,2305.939,681.714,21.607,-0.198
2020-09-12,3155070,72754,2305.939,535.429,16.97,-0.364
2020-09-13,3155070,74361,2356.873,657.857,20.851,-0.185
2020-09-14,3155070,74767,2369.741,636.143,20.163,-0.205
2020-09-15,3155070,75275,2385.842,659.429,20.901,-0.123
2020-09-16,3155070,76050,2410.406,701.857,22.245,-0.017
2020-09-17,3155070,76968,2439.502,716,22.694,-0.028
2020-09-18,3155070,78227,2479.406,781.857,24.781,0.147
2020-09-19,3155070,79128,2507.963,910.571,28.861,0.699
2020-09-20,3155070,80009,2535.887,806.857,25.573,0.226
2020-09-21,3155070,80633,2555.664,838,26.56,0.317
2020-09-22,3155070,81150,2572.051,839.286,26.601,0.272
2020-09-23,3155070,82006,2599.182,850.857,26.968,0.212
2020-09-24,3155070,83347,2641.685,911.286,28.883,0.272
2020-09-25,3155070,84433,2676.105,886.571,28.1,0.134
2020-09-26,3155070,85425,2707.547,899.571,28.512,-0.012
2020-09-27,3155070,86229,2733.03,888.571,28.163,0.101
2020-09-28,3155070,86840,2752.395,886.714,28.104,0.058
2020-09-29,3155070,87626,2777.308,925.143,29.322,0.102
2020-09-30,3155070,88555,2806.752,935.571,29.653,0.099
2020-10-01,3155070,89612,2840.254,895,28.367,-0.018
2020-10-02,3155070,90754,2876.45,903,28.621,0.019
2020-10-03,3155070,91861,2911.536,919.429,29.141,0.022
2020-10-04,3155070,92545,2933.215,902.286,28.598,0.015
2020-10-05,3155070,92901,2944.499,865.857,27.443,-0.023
2020-10-06,3155070,93423,2961.044,828.143,26.248,-0.105
2020-10-07,3155070,94342,2990.171,826.714,26.203,-0.116
2020-10-08,3155070,95857,3038.189,892.143,28.276,-0.003
2020-10-09,3155070,97041,3075.716,898.143,28.467,-0.005
2020-10-10,3155070,98356,3117.395,927.857,29.408,0.009
2020-10-11,3155070,99620,3157.458,1010.714,32.035,0.12
2020-10-12,3155070,100052,3171.15,1021.571,32.379,0.18
2020-10-13,3155070,100632,3189.533,1029.857,32.641,0.243
2020-10-14,3155070,101812,3226.933,1067.143,33.823,0.29
2020-10-15,3155070,103222,3271.623,1052.143,33.348,0.179
2020-10-16,3155070,104552,3313.778,1073,34.009,0.194
2020-10-17,3155070,106147,3364.331,1113,35.277,0.199
2020-10-18,3155070,107062,3393.332,1063.143,33.696,0.052
2020-10-19,3155070,107570,3409.433,1074,34.04,0.051
2020-10-20,3155070,108297,3432.475,1095,34.706,0.063
2020-10-21,3155070,109573,3472.918,1108.714,35.141,0.039
2020-10-22,3155070,110974,3517.323,1107.429,35.1,0.052
2020-10-23,3155070,112555,3567.433,1143.286,36.236,0.065
2020-10-24,3155070,114463,3627.907,1188,37.654,0.067
2020-10-25,3155070,115775,3669.491,1244.714,39.451,0.171
2020-10-26,3155070,116452,3690.948,1268.857,40.216,0.181
2020-10-27,3155070,117630,3728.285,1333.286,42.259,0.217
2020-10-28,3155070,119444,3785.78,1410.143,44.695,0.272
2020-10-29,3155070,121913,3864.035,1562.714,49.53,0.411
2020-10-30,3155070,124534,3947.107,1711.286,54.239,0.496
2020-10-31,3155070,127357,4036.582,1842,58.382,0.55
2020-11-01,3155070,130244,4128.086,2067,65.514,0.66
2020-11-02,3155070,131713,4174.646,2180.143,69.1,0.718
2020-11-03,3155070,133229,4222.696,2228.429,70.63,0.671
2020-11-04,3155070,136047,4312.012,2371.857,75.176,0.682
2020-11-05,3155070,140609,4456.605,2670.857,84.653,0.709
2020-11-06,3155070,148391,4703.255,3408.143,108.021,0.991
2020-11-08,3155070,148391,4703.255,3004.857,95.239,0.631
2020-11-09,3155070,156816,4970.286,3796,120.314,0.836
2020-11-10,3155070,161257,5111.043,4220.571,133.771,0.935
2020-11-11,3155070,166021,5262.039,4684.571,148.478,1.102
2020-11-13,3155070,175423,5560.035,5625.143,178.289,1.371
2020-11-14,3155070,180253,5713.122,5663.429,179.502,1.12
2020-11-15,3155070,184685,5853.594,5184.857,164.334,0.521
2020-11-16,3155070,187020,5927.602,5518.429,174.907,0.836
2020-11-17,3155070,190583,6040.532,4823.857,152.892,0.271
2020-11-18,3155070,194479,6164.015,4746,150.425,0.124
2020-11-19,3155070,198674,6296.976,4664.714,147.848,-0.004
2020-11-20,3155070,203033,6435.135,3944.286,125.014,-0.299
2020-11-21,3155070,206660,6550.092,3772.429,119.567,-0.334
2020-11-22,3155070,210061,6657.887,3625.143,114.899,-0.301
2020-11-23,3155070,211722,6710.533,3528.857,111.847,-0.36
2020-11-24,3155070,215582,6832.875,3571.286,113.192,-0.26
2020-11-25,3155070,218947,6939.529,3495.429,110.788,-0.263
2020-11-26,3155070,218947,6939.529,2896.143,91.793,-0.379
2020-11-27,3155070,223544,7085.231,2930.143,92.871,-0.257
2020-11-28,3155070,225783,7156.196,2731.857,86.586,-0.276
2020-11-29,3155070,227796,7219.998,2533.571,80.302,-0.301
