date,fips,county,population,population_group,cases_total,cases_total_per100k,cases_avg_week,cases_avg_week_per100k,cases_week_growth
2021-02-27,19153,Polk,490161,large,51390,10484.31,107.857,22.004,-0.043
2021-02-27,19113,Linn,226706,large,19371,8544.547,20.143,8.885,-0.149
2021-02-27,19163,Scott,172943,mid-large,17016,9839.08,21.714,12.556,-0.054
2021-02-27,19103,Johnson,151140,mid-large,13055,8637.687,18.714,12.382,0.053
2021-02-27,19013,Black Hawk,131228,mid-large,14863,11326.089,13.857,10.559,0.083
2021-02-27,19193,Woodbury,103107,mid-large,13698,13285.228,17.571,17.042,0.016
2021-02-27,19061,Dubuque,97311,mid-large,12361,12702.572,20.286,20.847,0.285
2021-02-27,19169,Story,97117,mid-large,9508,9790.253,18.714,19.27,0.038
2021-02-27,19049,Dallas,93453,mid-large,10092,10799.011,24.857,26.598,0.146
2021-02-27,19155,Pottawattamie,93206,mid-large,9784,10497.178,15,16.093,0.131
2021-02-27,19181,Warren,51466,mid-small,5065,9841.449,8,15.544,-0.213
2021-02-27,19045,Clinton,46429,mid-small,4981,10728.209,8.714,18.768,-0.056
2021-02-27,19139,Muscatine,42664,mid-small,4202,9849.053,8.571,20.09,0.135
2021-02-27,19033,Cerro Gordo,42450,mid-small,4975,11719.67,4.571,10.768,0.3
2021-02-27,19127,Marshall,39369,mid-small,4605,11697.02,4.286,10.887,-0.393
2021-02-27,19057,Des Moines,38967,mid-small,4252,10911.797,8.571,21.996,0.288
2021-02-27,19099,Jasper,37185,mid-small,3840,10326.745,19.571,52.631,-0.053
2021-02-27,19187,Webster,35904,mid-small,4919,13700.423,6.571,18.302,0.472
2021-02-27,19179,Wapello,34969,mid-small,3987,11401.527,14.571,41.668,0.079
2021-02-27,19167,Sioux,34855,mid-small,4765,13670.922,5.857,16.804,0.143
2021-02-27,19111,Lee,33657,mid-small,3532,10494.102,5.714,16.977,-0.06
2021-02-27,19125,Marion,33253,mid-small,3387,10185.547,5.286,15.896,-0.241
2021-02-27,19015,Boone,26234,mid-small,2412,9194.175,4.143,15.792,0.241
2021-02-27,19011,Benton,25645,mid-small,2372,9249.366,7,27.296,0.018
2021-02-27,19149,Plymouth,25177,mid-small,3654,14513.246,3.143,12.484,0
2021-02-27,19017,Bremer,25062,mid-small,2662,10621.658,4.714,18.809,0.333
