date,fips,county,tests,cases,recovered,deaths
2020-05-25,19153,Polk,21101,3774,1492,108
2020-05-25,19193,Woodbury,10365,2624,1275,24
2020-05-25,19013,Black Hawk,8440,1682,968,39
2020-05-25,19113,Linn,8246,935,764,75
2020-05-25,19127,Marshall,3301,870,453,11
2020-05-25,19049,Dallas,4342,857,516,14
2020-05-25,19103,Johnson,6398,602,336,7
2020-05-25,19139,Muscatine,2840,545,356,39
2020-05-25,19179,Wapello,2145,514,154,4
2020-05-25,19047,Crawford,1769,486,262,2
2020-05-25,19171,Tama,1429,394,223,23
2020-05-25,19163,Scott,5655,337,284,9
2020-05-25,19115,Louisa,1013,334,213,7
2020-05-25,19061,Dubuque,4670,323,147,16
2020-05-25,19099,Jasper,1772,256,190,16
2020-05-25,19021,Buena Vista,1778,243,35,0
2020-05-25,19155,Pottawattamie,2713,212,114,6
2020-05-25,19167,Sioux,942,207,97,0
2020-05-25,19183,Washington,1313,180,136,8
2020-05-25,19197,Wright,1062,122,14,0
2020-05-25,19005,Allamakee,736,118,86,4
2020-05-25,19149,Plymouth,987,116,71,0
2020-05-25,19181,Warren,1733,111,72,0
2020-05-25,19169,Story,2086,95,69,1
2020-05-25,19157,Poweshiek,540,88,69,8
2020-05-25,19123,Mahaska,655,85,18,6
2020-05-25,19017,Bremer,731,67,54,6
2020-05-25,19087,Henry,630,61,42,1
2020-05-25,19045,Clinton,1347,60,55,1
2020-05-25,19015,Boone,1421,55,25,0
2020-05-25,19057,Des Moines,809,55,30,1
2020-05-25,19031,Cedar,778,46,40,1
2020-05-25,19077,Guthrie,396,43,29,3
2020-05-25,19173,Taylor,225,39,1,0
2020-05-25,19011,Benton,857,37,31,1
2020-05-25,19105,Jones,653,36,34,0
2020-05-25,19039,Clarke,363,35,11,0
2020-05-25,19095,Iowa,628,33,30,0
2020-05-25,19135,Monroe,243,33,8,4
2020-05-25,19019,Buchanan,639,32,23,0
2020-05-25,19143,Osceola,174,32,24,0
2020-05-25,19165,Shelby,279,31,24,0
2020-05-25,19043,Clayton,569,30,24,3
2020-05-25,19125,Marion,787,29,19,0
2020-05-25,19187,Webster,1330,27,10,1
2020-05-25,19065,Fayette,705,26,25,0
2020-05-25,19079,Hamilton,905,26,9,0
2020-05-25,19121,Madison,443,24,11,1
